obs,Have you ever visited Sticks Kebob Shop?,How many times in the last week did you do the following? - Make/eat lunch at home,How many times in the last week did you do the following? - Bring lunch to work,How many times in the last week did you do the following? - Buy lunch at work,How many times in the last week did you do the following? - Buy lunch at restaurant,How many times in the last week did you do the following? - Skipped lunch,How many times in the last week did you do the following? - Other,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Second most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Third most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Fourth most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Fifth most frequent,Please indicate how important the following factors are when you visit a restaurant - Convenient,Please indicate how important the following factors are when you visit a restaurant - Variety,Please indicate how important the following factors are when you visit a restaurant - Value,Please indicate how important the following factors are when you visit a restaurant - Healthy,Please indicate how important the following factors are when you visit a restaurant - Taste,Please indicate how important the following factors are when you visit a restaurant - Staff,Please indicate how important the following factors are when you visit a restaurant - Ambiance,Please indicate how important the following factors are when you visit a restaurant - Consistency,Please indicate how important the following factors are when you visit a restaurant - Community,Please indicate how important the following factors are when you visit a restaurant - Other,What is your gender?,What is your age?,What is your approximate average annual household income?,How would you best describe your household type?,"How many children, by age, currently live in your household? - Less than 12","How many children, by age, currently live in your household? - 12-17","How many children, by age, currently live in your household? - 18+",Please indicate your best answers to the following: I tend to plan things very carefully,Please indicate your best answers to the following: I sometimes have trouble controlling my spending,Please indicate your best answers to the following: I think it is important to purchase products that are made locally,Please indicate your best answers to the following: I carefully consider the health benefits of what I eat,Please indicate your best answers to the following: Comments,What is your profession? - Accountant,What is your profession? - Lawyer,What is your profession? - General purpose contractor,What is your profession? - Design,What is your profession? - Educator,What is your profession? - Homemaker,What is your profession? - Business professional,What is your profession? - Other,"If you have children living at home, in what activities do they participate? - Soccer","If you have children living at home, in what activities do they participate? - Football","If you have children living at home, in what activities do they participate? - Tennis","If you have children living at home, in what activities do they participate? - Lacrosse","If you have children living at home, in what activities do they participate? - Swimming","If you have children living at home, in what activities do they participate? - Music","If you have children living at home, in what activities do they participate? - Hiking","If you have children living at home, in what activities do they participate? - Visiting local attractions","If you have children living at home, in what activities do they participate? - Visiting children's museums","If you have children living at home, in what activities do they participate? - Attending local sporting events","If you have children living at home, in what activities do they participate? - Other",In what activities or hobbies do you participate yourself? - Volunteer work,In what activities or hobbies do you participate yourself? - Tennis,In what activities or hobbies do you participate yourself? - Swimming,In what activities or hobbies do you participate yourself? - Skiing/snowboarding,In what activities or hobbies do you participate yourself? - Running,In what activities or hobbies do you participate yourself? - Hiking,In what activities or hobbies do you participate yourself? - Golf,In what activities or hobbies do you participate yourself? - Gardening,In what activities or hobbies do you participate yourself? - Fishing,In what activities or hobbies do you participate yourself? - Camping,In what activities or hobbies do you participate yourself? - Bicycling,In what activities or hobbies do you participate yourself? - Yoga,In what activities or hobbies do you participate yourself? - Book clubs,In what activities or hobbies do you participate yourself? - Eating out,In what activities or hobbies do you participate yourself? - Attending local sporting events,In what activities or hobbies do you participate yourself? - Visting museums,In what activities or hobbies do you participate yourself? - Kids' activities,In what activities or hobbies do you participate yourself? - Other,"In the last month, how many times have you used coupons when you visited a restaurant?",How do you find restaurant coupons? - Valpak/direct mail,How do you find restaurant coupons? - Coupon site or blog,How do you find restaurant coupons? - Groupon/other daily deal,How do you find restaurant coupons? - Store receipt offer,How do you find restaurant coupons? - Loyalty card reward,How do you find restaurant coupons? - Offer mentioned in media,How do you find restaurant coupons? - Other
103,2,7,1,1,1,1,,Outback Steakhouse,,,,,1,1,1,2,1,1,2,1,2,,1,3,1,1,0,0,0,2,3,2,2,,,,,,,6,,retired/disabled,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,1,,,,,,,
113,2,3,1,1,5,2,,arbys,mcdonalds,wendys,taco bell,pizza hut,1,1,1,3,1,1,2,2,3,,1,2,2,2,1,2,0,1,4,3,2,,,,3,,,,,hospitality,,2,,,,6,,,,,gymnastics,,,,,,,,,,,,,,14,15,,17,,1,,,,,,,
114,2,6,1,1,4,1,,applebee,rudy tuesday,padow's,kanpal,crossflite,1,2,1,1,1,1,1,1,2,,1,3,2,3,16,,18,1,2,3,1,,,,,,,6,,,,,,,,6,,,,10,,1,,,,,,,,9,,,,,14,15,16,,,2,,,,4,,,
118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2,4,,,3,3,,Sidewalk Cafe,Cookout,The Village,Kuba Kuba,821 Cafe,2,1,1,2,1,2,2,1,2,,1,1,1,3,0,0,3,1,2,1,2,,,,,,,,7,,,,,,,,,,,,,1,,3,,,,,,,,,,,14,,16,,,2,,2,,,,6,
126,2,4,4,4,4,4,,fridays,outback,ocharlies,applebees,olive garden,3,3,3,3,3,3,3,3,3,,1,3,1,2,0,1,0,2,2,2,2,,,,,,5,,,bus driver,,2,,,5,,,8,,10,,,,3,,,,,,,,,,,14,15,,,,3,1,,,,,,
127,2,7,1,1,1,1,,PRIMOS,APPBLEBEES,MCDONALDS,ARBYS,WENDYS,1,1,2,2,2,2,2,2,2,,1,2,2,2,2,1,,2,2,2,2,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,
138,2,6,1,1,1,1,,mcdonalds,burger king,wendys,sonic,subway,2,2,3,3,1,3,3,2,5,,1,2,3,2,1,0,0,1,2,2,3,,,,,,,,7,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,17,,1,,,,,,,
142,2,5,1,1,2,2,,ghenghis khan,outback,applebee's,,,2,2,2,3,2,1,1,1,,,1,3,1,2,0,0,1,2,3,2,2,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,8,,,,,,,,,,,2,1,2,3,4,,,
144,2,2,1,1,1,6,,Angelo's,Applebee's,Outback,China Taste,Subway,2,1,1,1,1,1,1,2,1,,1,3,2,2,,,,1,2,2,1,,,,,,,6,,,,,,,,,,,,,my children are 36  & 39,1,,3,,,,,,,,,,,14,,16,,,3,1,,3,,5,,
148,2,1,4,2,1,3,,family secrets,,,,,1,2,1,5,1,3,3,3,5,,2,2,2,2,1,,,3,1,3,2,,,,3,,,,7,,,,,,,6,,,9,,,,,,,,,,,9,,,,,,,,,,1,,,,,,,
149,2,3,2,2,4,,,Maggiano's,Panera bread,Elephant Thai,Qdoba,Applebee's,2,2,1,2,1,2,2,1,3,,1,3,3,2,0,0,0,2,1,2,2,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,2,3,4,,,
154,2,1,1,1,6,1,,Applebee's,Outback Steakhouse,Arby's,Olive Garden,Croaker Spot,2,2,2,2,2,2,2,2,2,,1,3,2,2,1,0,1,2,3,2,2,,,,,,,,7,,,,,,,,,,,,Cheerleading,,,,,,,,,,,,,,14,,,,,1,,,,,,,
